model,raw_model,input_mode,source_video,task_family,premise,condition,statement_type,statement,score,response,error,result_file,line_number
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,target,The secretary's antenna is not currently spotted.,50,50,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,13
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,target,The secretary's antenna is not currently spotted.,50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,13
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,target,The secretary's antenna is not currently spotted.,50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,13
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,target,The secretary's antenna is not currently spotted.,95,95,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,13
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,target,The secretary's antenna is not currently spotted.,75,75,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,13
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,target,The secretary's antenna is not currently spotted.,85,85,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,13
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,target,The secretary's antenna is not currently spotted.,100,100,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,13
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,target,The secretary's antenna is not currently spotted.,100,100,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,13
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,target,The secretary's antenna is not currently spotted.,100,100,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,13
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,baseline,The secretary's antenna is currently spotted.,80,80,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,14
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,baseline,The secretary's antenna is currently spotted.,75,75,,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,14
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,baseline,The secretary's antenna is currently spotted.,50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,14
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,baseline,The secretary's antenna is currently spotted.,50,50,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,14
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,baseline,The secretary's antenna is currently spotted.,75,75,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,14
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,baseline,The secretary's antenna is currently spotted.,50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,14
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,baseline,The secretary's antenna is currently spotted.,25,25,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,14
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,baseline,The secretary's antenna is currently spotted.,25,25,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,14
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,baseline,The secretary's antenna is currently spotted.,50,50,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,14
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,baseline,The secretary's antenna is currently spotted.,0,0,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,14
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,baseline,The secretary's antenna is currently spotted.,0,0,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,14
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,baseline,The secretary's antenna is currently spotted.,100,100,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,14
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,target,None of the secretaries' antennae are currently spotted.,75,75,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,15
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,target,None of the secretaries' antennae are currently spotted.,75,"75

### Explanation:
- **",,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,15
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,target,None of the secretaries' antennae are currently spotted.,90,90,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,15
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,target,None of the secretaries' antennae are currently spotted.,100,100,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,15
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,target,None of the secretaries' antennae are currently spotted.,50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,15
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,target,None of the secretaries' antennae are currently spotted.,50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,15
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,target,None of the secretaries' antennae are currently spotted.,95,95,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,15
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,target,None of the secretaries' antennae are currently spotted.,20,20,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,15
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,target,None of the secretaries' antennae are currently spotted.,95,95,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,15
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,target,None of the secretaries' antennae are currently spotted.,100,100,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,15
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,target,None of the secretaries' antennae are currently spotted.,100,100,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,15
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,target,None of the secretaries' antennae are currently spotted.,100,100,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,15
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,baseline,Some of the secretaries' antennae are currently spotted.,50,50,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,16
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,baseline,Some of the secretaries' antennae are currently spotted.,50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,16
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,baseline,Some of the secretaries' antennae are currently spotted.,0,0,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,16
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,baseline,Some of the secretaries' antennae are currently spotted.,50,50,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,16
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,baseline,Some of the secretaries' antennae are currently spotted.,50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,16
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,baseline,Some of the secretaries' antennae are currently spotted.,50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,16
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,baseline,Some of the secretaries' antennae are currently spotted.,0,0,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,16
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,baseline,Some of the secretaries' antennae are currently spotted.,20,20,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,16
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,baseline,Some of the secretaries' antennae are currently spotted.,0,0,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,16
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,baseline,Some of the secretaries' antennae are currently spotted.,0,0,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,16
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,baseline,Some of the secretaries' antennae are currently spotted.,0,0,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,16
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,baseline,Some of the secretaries' antennae are currently spotted.,0,0,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,16
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,target,"This week, John will punch, but not a lot.",80,80,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,17
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,target,"This week, John will punch, but not a lot.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,17
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,target,"This week, John will punch, but not a lot.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,17
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,target,"This week, John will punch, but not a lot.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,17
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,target,"This week, John will punch, but not a lot.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,17
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,target,"This week, John will punch, but not a lot.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,17
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,target,"This week, John will punch, but not a lot.",60,60,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,17
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,target,"This week, John will punch, but not a lot.",60,60,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,17
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,target,"This week, John will punch, but not a lot.",20,20,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,17
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,target,"This week, John will punch, but not a lot.",0,0,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,17
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,target,"This week, John will punch, but not a lot.",100,100,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,17
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,target,"This week, John will punch, but not a lot.",10,10,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,17
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,baseline,"This week, John will punch a lot.",25,25,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,18
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,baseline,"This week, John will punch a lot.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,18
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,baseline,"This week, John will punch a lot.",75,75,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,18
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,baseline,"This week, John will punch a lot.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,18
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,baseline,"This week, John will punch a lot.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,18
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,baseline,"This week, John will punch a lot.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,18
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,baseline,"This week, John will punch a lot.",20,20,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,18
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,baseline,"This week, John will punch a lot.",20,20,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,18
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,baseline,"This week, John will punch a lot.",90,90,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,18
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,baseline,"This week, John will punch a lot.",0,0,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,18
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,baseline,"This week, John will punch a lot.",0,0,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,18
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,baseline,"This week, John will punch a lot.",90,90,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,18
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,target,"This week, John will punch, but not a lot.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,19
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,target,"This week, John will punch, but not a lot.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,19
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,target,"This week, John will punch, but not a lot.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,19
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,target,"This week, John will punch, but not a lot.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,19
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,target,"This week, John will punch, but not a lot.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,19
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,target,"This week, John will punch, but not a lot.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,19
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,target,"This week, John will punch, but not a lot.",20,20,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,19
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,target,"This week, John will punch, but not a lot.",0,0,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,19
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,target,"This week, John will punch, but not a lot.",20,20,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,19
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,target,"This week, John will punch, but not a lot.",0,0,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,19
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,target,"This week, John will punch, but not a lot.",0,0,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,19
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,target,"This week, John will punch, but not a lot.",100,100,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,19
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,baseline,"This week, John will punch a lot.",90,90,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,20
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,baseline,"This week, John will punch a lot.",75,75,,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,20
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,baseline,"This week, John will punch a lot.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,20
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,baseline,"This week, John will punch a lot.",85,85,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,20
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,baseline,"This week, John will punch a lot.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,20
